Long Code Stop;Stop;Municipality;Country;Didoc Code;Coordonnées;Actif
_CANDS;Bois Candide-Dne - CH;MEYRIN;CH;;46.243839, 6.092346;Y
_DOACH;Veigy-Dne - CH;ANIÈRES;CH;;46.266602, 6.24718;Y
_DOAFR;Veigy-Dne - F;VEIGY-FONCENEX;FR;;46.266586, 6.24709;Y
_DOANF;Anières-Dne - F;VEIGY-FONCENEX;FR;;46.2729, 6.242787;Y
_DOANS;Anières-Dne - CH;ANIÈRES;CH;;46.272961, 6.242747;Y
_GSDNF;Grand-Saconnex-Dne - F;FERNEY-VOLTAIRE;FR;;46.248657, 6.120783;Y
_GSDNS;Grand-Saconnex-Dne - CH;LE GRAND-SACONNEX;CH;;46.248718, 6.120574;Y
_LADNF;Landecy-Dne - F;ARCHAMPS;FR;;46.141945, 6.132473;Y
_PLDOS;La Plaine-Dne - CH;DARDAGNY;CH;;46.177296, 5.991193;Y
AAIN00;Avenue de l'Ain;VERNIER;CH;8593138;46.205944, 6.109895;Y
AAIN04;Avenue de l'Ain;VERNIER;CH;8593138;46.205765, 6.11196;Y
ACAC01;Acacias;GENÈVE;CH;8592774;46.192749, 6.138511;Y
ACLP00;Avusy-Creux-du-Loup;AVUSY;CH;8595011;46.151794, 5.995663;Y
ADOU01;Prévessin-Ancienne-Douane;PRÉVESSIN-MOËNS;FR;1401776;46.247414, 6.079873;Y
AE4700;Aéroport-P47;LE GRAND-SACONNEX;CH;8596098;46.240807, 6.12201;Y
AE4701;Aéroport-P47;LE GRAND-SACONNEX;CH;8596098;46.24065, 6.121561;Y
AERO00;Genève-Aéroport-Terminal;LE GRAND-SACONNEX;CH;8592775;46.231071, 6.109568;Y
AIRE01;Aïre;VERNIER;CH;8593137;46.201004, 6.10324;Y
AIVC00;Aire-la-Ville-Croisée;AIRE-LA-VILLE;CH;8595556;46.188389, 6.045903;Y
AIVT00;Aire-la-Ville-Treulaz;AIRE-LA-VILLE;CH;8592620;46.185917, 6.045357;Y
AJEN00;Jeandin;THÔNEX;CH;8593106;46.190304, 6.198418;Y
ALBA01;Avully-Bachères;AVULLY;CH;8595953;46.164612, 5.992372;Y
ALEC00;Avully-Ecole;AVULLY;CH;8592627;46.167469, 6.004689;Y
ALGE00;Avully-Gennecy;AVULLY;CH;8592630;46.168121, 5.995866;Y
ALGE01;Avully-Gennecy;AVULLY;CH;8592630;46.168194, 5.996123;Y
ALMA01;Avully-Martinet;AVULLY;CH;8592628;46.158596, 5.986369;Y
ALPE00;Alpes;GENÈVE;CH;8592777;46.208992, 6.147272;Y
AMDO01;Amandolier;GENÈVE;CH;8592778;46.200069, 6.16767;Y
AMDO03;Amandolier;GENÈVE;CH;8592778;46.199421, 6.167322;Y
ANCI00;Ancienne;CAROUGE;CH;8592668;46.181393, 6.140866;Y
ANDO00;Anières-Douane;ANIÈRES;CH;8592624;46.268639, 6.238289;Y
ANGR00;Anières-Gravière;ANIÈRES;CH;8592625;46.28875, 6.236924;Y
ANMA00;Anières-Mairie;ANIÈRES;CH;8595010;46.275013, 6.227262;Y
ANRS01;Anières-Village;ANIÈRES;CH;8587029;46.27692, 6.223158;Y
APIA00;Appia;GENÈVE;CH;8588196;46.226646, 6.136846;Y
APIA02;Appia;GENÈVE;CH;8588196;46.227913, 6.138383;Y
ARAR01;Arare;PLAN-LES-OUATES;CH;8593050;46.165424, 6.111478;Y
AREN01;Genève-Aéroport, gare-Arena;LE GRAND-SACONNEX;CH;8592935;46.233032, 6.111853;Y
ATHE04;Athénée;GENÈVE;CH;8592779;46.198383, 6.149493;Y
ATPA04;Athenaz-Passeiry;AVUSY;CH;8592638;46.156456, 6.003321;Y
